Vehicle_ID,Global_Time,Local_X,Local_Y,Velocity
2522,1118847703400,50.846,45.664,40.0
2522,1118847703500,50.825,49.664,40.0
2522,1118847703600,50.804,53.664,40.0
2522,1118847703700,50.784,57.664,40.0
2522,1118847703800,50.763,61.664,40.0
2522,1118847703900,50.743,65.664,40.0
2522,1118847704000,50.722,69.664,40.0
2522,1118847704100,50.701,73.664,40.0
2522,1118847704200,50.681,77.664,40.0
2522,1118847704300,50.66,81.715,40.51000000000002
2522,1118847704400,50.64,85.63,39.14999999999992
2522,1118847704500,50.619,89.399,37.690000000000055
2522,1118847704600,50.616,93.052,36.53000000000006
2522,1118847704700,50.663,96.821,37.68999999999991
2522,1118847704800,50.712,100.735,39.140000000000015
2522,1118847704900,50.761,104.787,40.52000000000007
2522,1118847705000,50.809,108.786,39.98999999999995
2522,1118847705100,50.859,112.786,40.0
2522,1118847705200,50.907,116.786,40.0
2522,1118847705300,50.955,120.786,40.0
2522,1118847705400,51.004,124.785,39.98999999999995
2522,1118847705500,51.053,128.785,40.0
2522,1118847705600,51.102,132.784,39.98999999999995
2522,1118847705700,51.15,136.784,40.0
2522,1118847705800,51.199,140.784,40.0
2522,1118847705900,51.247,144.784,40.0
2522,1118847706000,51.296,148.783,39.98999999999995
2522,1118847706100,51.345,152.783,40.0
2522,1118847706200,51.393,156.826,40.430000000000064
2522,1118847706300,51.442,160.777,39.509999999999934
2522,1118847706400,51.491,164.562,37.85000000000025
2522,1118847706500,51.553,168.273,37.10999999999984
2522,1118847706600,51.659,172.057,37.83999999999992
2522,1118847706700,51.764,176.008,39.51000000000022
2522,1118847706800,51.87,180.049,40.40999999999997
2522,1118847706900,51.974,184.047,39.979999999999905
2522,1118847707000,52.08,188.046,39.98999999999995
2522,1118847707100,52.185,192.045,39.98999999999995
2522,1118847707200,52.29,196.043,39.98000000000019
2522,1118847707300,52.395,200.042,39.98999999999995
2522,1118847707400,52.501,204.041,39.98999999999995
2522,1118847707500,52.606,208.039,39.979999999999905
2522,1118847707600,52.711,212.037,39.98000000000019
2522,1118847707700,52.816,216.039,40.01999999999981
2522,1118847707800,52.915,220.05,40.11000000000024
2522,1118847707900,53.048,224.05,40.0
2522,1118847708000,53.187,227.689,36.389999999999816
2522,1118847708100,53.195,231.149,34.60000000000008
2522,1118847708200,53.137,234.279,31.299999999999955
2522,1118847708300,53.026,237.627,33.48000000000013
2522,1118847708400,52.878,241.081,34.53999999999979
2522,1118847708500,52.759,244.854,37.730000000000246
2522,1118847708600,52.639,248.6,37.45999999999981
2522,1118847708700,52.52,252.345,37.450000000000045
2522,1118847708800,52.4,256.088,37.430000000000234
2522,1118847708900,52.281,259.817,37.28999999999985
2522,1118847709000,52.16,263.541,37.239999999999895
2522,1118847709100,52.019,267.309,37.68000000000029
2522,1118847709200,51.907,271.232,39.23000000000002
2522,1118847709300,51.856,275.283,40.50999999999988
2522,1118847709400,51.863,279.478,41.94999999999993
2522,1118847709500,51.903,283.793,43.14999999999998
2522,1118847709600,51.794,288.102,43.08999999999969
2522,1118847709700,51.629,292.383,42.81000000000006
2522,1118847709800,51.513,296.695,43.12000000000012
2522,1118847709900,51.528,301.07,43.75
2522,1118847710000,51.62,305.447,43.770000000000095
2522,1118847710100,51.662,309.729,42.81999999999982
2522,1118847710200,51.653,313.869,41.40000000000043
2522,1118847710300,51.624,317.903,40.33999999999992
2522,1118847710400,51.611,321.892,39.88999999999976
2522,1118847710500,51.602,325.877,39.850000000000136
2522,1118847710600,51.593,329.875,39.979999999999905
2522,1118847710700,51.583,333.876,40.00999999999976
2522,1118847710800,51.574,337.876,40.0
2522,1118847710900,51.565,341.948,40.72000000000003
2522,1118847711000,51.555,345.778,38.30000000000041
2522,1118847711100,51.545,349.506,37.27999999999952
2522,1118847711200,51.586,353.02,35.1400000000001
2522,1118847711300,51.671,356.748,37.280000000000086
2522,1118847711400,51.756,360.577,38.29000000000008
2522,1118847711500,51.842,364.649,40.72000000000003
2522,1118847711600,51.928,368.648,39.99000000000024
2522,1118847711700,52.014,372.647,39.98999999999967
2522,1118847711800,52.099,376.646,39.99000000000024
2522,1118847711900,52.185,380.645,39.98999999999967
